data_folder,view_list,acc,measure1,measure2,uncertainty
KIPAN,2,0.9797979797979798,0.9797774100943248,0.9848966950914259,0.01714260699007659
KIPAN,1-2,0.9848484848484849,0.9848412604380691,0.9886836835245876,0.0176725407139899
KIPAN,1-2-3,0.9949494949494949,0.9949515782928444,0.9962345972817177,0.016683639661111114
LGG,1,0.8366013071895425,0.8322147651006712,0.8383510092370852,0.027615258258490705
LGG,1-2,0.8431372549019608,0.84,0.8446801231611358,0.08770611105882353
LGG,1-2-3,0.8300653594771242,0.8311688311688312,0.8307389668149161,0.17692303909803922
ROSMAP,1,0.8018867924528302,0.8073394495412844,0.8019607843137255,0.07811607486321226
ROSMAP,1-2,0.839622641509434,0.8349514563106796,0.8418894830659537,0.09798960598113207
ROSMAP,1-2-3,0.8584905660377359,0.8571428571428571,0.860071301247772,0.15883652736792456
BRCA,1,0.8288973384030418,0.8065905822562395,0.7774021918595325,0.0542417028501922
BRCA,1-2,0.8479087452471483,0.8442381686477048,0.7821354314784973,0.047077908994030415
BRCA,1-2-3,0.8403041825095057,0.8330246013956315,0.7934649225279198,0.04545447814140684
